int	string
3199439626	Can't register dvar
904544970	Attempt to register Client Field post finalization of Client Field registration period failed.
2258850890	No clientfield named found in set.
1046896252	not an entity
1991549692	Error initializing lzma
3990130335	player getperks(<localClientNum>): localClientNum out of range
2346900383	not an object
4104994143	can't allocate more script variables
766802866	Invalid fastfile header
3304446514	not an entity
3971544690	time cannot be negative
312545010	not a vector
1015938482	not an entity
364298674	not an actor
3488519410	object is not an array, string, or vector
1461218623	string index out of range
57350207	Unknown perk
1982281215	exceeded message limit
2658987327	Invalid string
1431456749	not a script function
1492330861	script stack overflow (too many embedded function calls)
2255127213	Parameter must be an array
952690413	parameter can't be cast to a boolean
3429737773	getweaponaccuracy must be called on an AI only
2725053485	caller is not an object
962032109	Entity does not exist.
1047459117	Entity is not a rocket
4163774148	Optional argument must be a float or integer type
1498641348	not an array
359760836	G_Spawn: no free entities
2036025092	formatting can only be used with player entity, string, hash, int or float
3812357892	script stack overflow (too many embedded function calls)
1167526340	invalid session mode
1756043215	Usage: kill( <source position>, <attacker>, <inflictor>, <weapon>)
1156941583	Invalid threat bias group
2378228303	invalid session mode
2572009355	vector scale expecting vector
285416523	not an object
3596277323	endoncallback must have at least one valid argument
2737681163	assert fail (with message)
1517473035	Value out of range.  Allowed values: 0 to 2
1273214009	CScr_PlayFX: invalid effect
3875481145	First argument of a match call must be a pointer to a struct
3205256249	Kill failed
2473308409	Execution Queue out of memory
179749049	cannot cast to bool
3137736761	script stack overflow (too many embedded function calls)
1752379961	param is not an object
2274889209	Invalid type passed in from array into waittill parameter list
3706227705	Invalid threat bias group
2955023929	not an object
409067247	No clientfield named found in set.
269518924	Ammo count must not be negative
3482075788	caller is not an object
1246623636	not an entity
2344222932	assert fail
2589667284	invalid velocity parameter in moveslide command
2706458388	Invalid localclientnum
2706458388	Trying to get a local client index for a client that is not a local client.
417308884	Invalid xpak magic
2269096660	vector scale expecting vector
744499668	too many vehicles
2855209542	Cannot call IncrementClientField on a non-'counter' type clientfield.
3257432710	type is not a float or int
1132507782	bad opcode
